"metabolite","species","rho","p","FDR","abs_rho","sig_p05","sig_fdr05","sig_fdr10"
"Thiodiacetic acid","Haemophilus parainfluenzae",-0.14697583054946,0.140452814940504,0.329857622371311,0.14697583054946,FALSE,FALSE,FALSE
"Thiodiacetic acid","Prevotella denticola",-0.143587287369173,0.149935282896051,0.329857622371311,0.143587287369173,FALSE,FALSE,FALSE
"Decanoylcarnitine","Prevotella melaninogenica",-0.186886701861818,0.0599980807142257,0.329989443928241,0.186886701861818,FALSE,FALSE,FALSE
"Citric acid/Isocitric acid","Bifidobacterium longum",-0.115898338909313,0.246047316519417,0.338315060214198,0.115898338909313,FALSE,FALSE,FALSE
"Kynurenine","Bifidobacterium breve",-0.142496888218252,0.153086701054713,0.341780923603328,0.142496888218252,FALSE,FALSE,FALSE
"Kynurenine","Eggerthella lenta",-0.14172242876163,0.15535496527424,0.341780923603328,0.14172242876163,FALSE,FALSE,FALSE
"N-Acetylglycine","Veillonella parvula",-0.16688271436258,0.0936523156890548,0.343391824193201,0.16688271436258,FALSE,FALSE,FALSE
"Thiodiacetic acid","Bifidobacterium longum",-0.130745638684641,0.190255915829483,0.348802512354052,0.130745638684641,FALSE,FALSE,FALSE
"Hexadecanedioic acid","Bifidobacterium dentium",-0.141916302505321,0.154784797037603,0.351422358305014,0.141916302505321,FALSE,FALSE,FALSE
"Hexadecanedioic acid","Prevotella melaninogenica",-0.137747806481772,0.167392744079066,0.351422358305014,0.137747806481772,FALSE,FALSE,FALSE
"Hexadecanedioic acid","Haemophilus parainfluenzae",-0.135531161053037,0.174399049499312,0.351422358305014,0.135531161053037,FALSE,FALSE,FALSE
"Hexadecanedioic acid","Escherichia coli",0.126230551580636,0.206151918838302,0.351422358305014,0.126230551580636,FALSE,FALSE,FALSE
"Hexadecanedioic acid","Bifidobacterium longum",0.123435154191606,0.21645758675221,0.351422358305014,0.123435154191606,FALSE,FALSE,FALSE
"Hexadecanedioic acid","Veillonella atypica",-0.121544294846356,0.223632409830463,0.351422358305014,0.121544294846356,FALSE,FALSE,FALSE
"Quinolinic acid","Bifidobacterium dentium",-0.140133734878844,0.160086485619266,0.352190268362386,0.140133734878844,FALSE,FALSE,FALSE
"N-Acetyl-L-aspartic acid","Bifidobacterium breve",-0.121354580732397,0.224361414789408,0.352567937526213,0.121354580732397,FALSE,FALSE,FALSE
"Thiodiacetic acid","Streptococcus salivarius",-0.12039735114225,0.228065227007961,0.358388213869654,0.12039735114225,FALSE,FALSE,FALSE
"Tartaric acid","Veillonella atypica",-0.119866883839524,0.230136141676177,0.361642508348278,0.119866883839524,FALSE,FALSE,FALSE
"N-Acetylglycine","Eggerthella lenta",-0.149344611012719,0.134098757383823,0.368771582805513,0.149344611012719,FALSE,FALSE,FALSE
"Acetamidobutanoic acid","Eggerthella lenta",-0.181960862899562,0.0671934401659854,0.369563920912919,0.181960862899562,FALSE,FALSE,FALSE
"Oxovaleric acid","Veillonella atypica",-0.148496209537202,0.136348864455493,0.374959377252605,0.148496209537202,FALSE,FALSE,FALSE
"Malic acid","Veillonella atypica",-0.184503876893307,0.0633960061855714,0.376809937712738,0.184503876893307,FALSE,FALSE,FALSE
"Malic acid","Eggerthella lenta",0.170833168690333,0.0860321266949158,0.376809937712738,0.170833168690333,FALSE,FALSE,FALSE
"Malic acid","Escherichia coli",-0.162478329337819,0.102766346648929,0.376809937712738,0.162478329337819,FALSE,FALSE,FALSE
"Phenylalanine","Bifidobacterium dentium",0.135947833263956,0.173065848895404,0.378020364611639,0.135947833263956,FALSE,FALSE,FALSE
"Phenylalanine","Escherichia coli",0.126219232992733,0.206192926151803,0.378020364611639,0.126219232992733,FALSE,FALSE,FALSE
"Oxovaleric acid","Bifidobacterium dentium",0.13607312555719,0.17266643006084,0.379866146133849,0.13607312555719,FALSE,FALSE,FALSE
"Oxovaleric acid","Prevotella denticola",0.122060037788241,0.221659028548784,0.380876841143803,0.122060037788241,FALSE,FALSE,FALSE
"Oxovaleric acid","Bifidobacterium breve",-0.11679780495566,0.242376171636966,0.380876841143803,0.11679780495566,FALSE,FALSE,FALSE
"Hexadecanedioic acid","Streptococcus salivarius",0.107133453372079,0.283833326830888,0.390270824392471,0.107133453372079,FALSE,FALSE,FALSE
"N8-Acetylspermidine","Haemophilus parainfluenzae",-0.145496426529757,0.144535321778314,0.397472134890365,0.145496426529757,FALSE,FALSE,FALSE
"Dihydrothymine","Veillonella parvula",0.139360920789293,0.162426542404285,0.399560264172957,0.139360920789293,FALSE,FALSE,FALSE
"Dihydrothymine","Bifidobacterium breve",-0.125639648139838,0.208300570923796,0.399560264172957,0.125639648139838,FALSE,FALSE,FALSE
"Dihydrothymine","Veillonella atypica",-0.123040364122719,0.217941962276158,0.399560264172957,0.123040364122719,FALSE,FALSE,FALSE
"Phenylacetyl-L-glutamine","Prevotella melaninogenica",-0.105518207620545,0.291197839961747,0.400397029947403,0.105518207620545,FALSE,FALSE,FALSE
"Pantothenic acid","Veillonella parvula",0.0974272624612567,0.329977053268233,0.403305287327841,0.0974272624612567,FALSE,FALSE,FALSE
"Dihydrothymine","Streptococcus salivarius",-0.113284165949058,0.256934224729934,0.403753781718468,0.113284165949058,FALSE,FALSE,FALSE
"Quinolinic acid","Veillonella atypica",0.121725636576824,0.222937138247703,0.408718086787455,0.121725636576824,FALSE,FALSE,FALSE
"Butyrylcarnitine","Haemophilus parainfluenzae",0.0865451351526291,0.387085477492103,0.425794025241314,0.0865451351526291,FALSE,FALSE,FALSE
"N6,N6,N6-Trimethyl-L-lysine","Eggerthella lenta",-0.156511307335035,0.11620515245766,0.426085559011421,0.156511307335035,FALSE,FALSE,FALSE
"Thiodiacetic acid","Prevotella melaninogenica",-0.101110997357661,0.311930406529653,0.428904308978273,0.101110997357661,FALSE,FALSE,FALSE
"N6-Acetyl-L-lysine","Eggerthella lenta",-0.129274401923431,0.195334821695307,0.429736607729675,0.129274401923431,FALSE,FALSE,FALSE
"p-Hydroxyphenyllactic acid","Bifidobacterium longum",-0.118569042222558,0.235258266015509,0.432796261810357,0.118569042222558,FALSE,FALSE,FALSE
"p-Hydroxyphenyllactic acid","Bifidobacterium breve",0.105425677582412,0.291623516748887,0.432796261810357,0.105425677582412,FALSE,FALSE,FALSE
"p-Hydroxyphenyllactic acid","Prevotella melaninogenica",0.10112598786876,0.311858302523902,0.432796261810357,0.10112598786876,FALSE,FALSE,FALSE
"p-Hydroxyphenyllactic acid","Prevotella denticola",0.0945821663719302,0.344361744260491,0.432796261810357,0.0945821663719302,FALSE,FALSE,FALSE
"p-Hydroxyphenyllactic acid","Eggerthella lenta",-0.092697152149676,0.354106032390292,0.432796261810357,0.092697152149676,FALSE,FALSE,FALSE
"Oxovaleric acid","Haemophilus parainfluenzae",-0.100155652133897,0.316547914751397,0.43525338278317,0.100155652133897,FALSE,FALSE,FALSE
"N-Acetyl-L-tryptophan","Prevotella melaninogenica",-0.128318775000976,0.198685797281032,0.437108754018271,0.128318775000976,FALSE,FALSE,FALSE
"Threitol","Escherichia coli",0.137724577595443,0.167465068932276,0.450996190869874,0.137724577595443,FALSE,FALSE,FALSE
"Threitol","Prevotella denticola",-0.126549637382709,0.204998268577216,0.450996190869874,0.126549637382709,FALSE,FALSE,FALSE
"Hydroxy-methoxyphenylglycol sulfate","Bifidobacterium breve",0.141642138973175,0.155591550848234,0.453023706549167,0.141642138973175,FALSE,FALSE,FALSE
"Hydroxy-methoxyphenylglycol sulfate","Veillonella parvula",-0.137758973528651,0.167357982880934,0.453023706549167,0.137758973528651,FALSE,FALSE,FALSE
"Hydroxy-methoxyphenylglycol sulfate","Bifidobacterium dentium",-0.126294631580641,0.205919866613258,0.453023706549167,0.126294631580641,FALSE,FALSE,FALSE
"Guanidinosuccinic acid","Eggerthella lenta",-0.107226576713021,0.283412563578512,0.457385393336819,0.107226576713021,FALSE,FALSE,FALSE
"Guanidinosuccinic acid","Prevotella melaninogenica",0.107122192308058,0.283884236405851,0.457385393336819,0.107122192308058,FALSE,FALSE,FALSE
"Guanidinosuccinic acid","Prevotella denticola",0.105547442669605,0.29106343212343,0.457385393336819,0.105547442669605,FALSE,FALSE,FALSE
"Tartaric acid","Prevotella melaninogenica",0.0948899352518899,0.342786939702937,0.458238981465988,0.0948899352518899,FALSE,FALSE,FALSE
"Tartaric acid","Bifidobacterium dentium",-0.0887752848610675,0.374922803017626,0.458238981465988,0.0887752848610675,FALSE,FALSE,FALSE
"p-Anisic acid","Haemophilus parainfluenzae",-0.0978359466310029,0.32794270345393,0.460874557440567,0.0978359466310029,FALSE,FALSE,FALSE
"p-Anisic acid","Prevotella melaninogenica",-0.0963889863617143,0.335181496320413,0.460874557440567,0.0963889863617143,FALSE,FALSE,FALSE
"Hexose alcohols","Eggerthella lenta",-0.14822031030246,0.137086747483044,0.465162098305343,0.14822031030246,FALSE,FALSE,FALSE
"Hexose alcohols","Escherichia coli",0.141335207136283,0.156498453355032,0.465162098305343,0.141335207136283,FALSE,FALSE,FALSE
"Hexose alcohols","Prevotella denticola",-0.136251738201263,0.172098205899035,0.465162098305343,0.136251738201263,FALSE,FALSE,FALSE
"Hexose alcohols","Haemophilus parainfluenzae",-0.124784770253914,0.211437317411519,0.465162098305343,0.124784770253914,FALSE,FALSE,FALSE
"Succinate","Veillonella atypica",-0.114471967358093,0.251947393859638,0.466738765595472,0.114471967358093,FALSE,FALSE,FALSE
"Succinate","Prevotella denticola",-0.113841787683114,0.254584781233894,0.466738765595472,0.113841787683114,FALSE,FALSE,FALSE
"Phenyllactic acid","Escherichia coli",0.15126726802057,0.129104330902857,0.473382546643808,0.15126726802057,FALSE,FALSE,FALSE
"p-Anisic acid","Bifidobacterium breve",0.0857098390353611,0.391701299133247,0.478746032273969,0.0857098390353611,FALSE,FALSE,FALSE
"Hexose alcohols","Veillonella parvula",-0.112184423268653,0.261611136794993,0.479620417457487,0.112184423268653,FALSE,FALSE,FALSE
"Hydroxycaproic acid","Bifidobacterium breve",0.111810824260871,0.263213059222028,0.482557275240385,0.111810824260871,FALSE,FALSE,FALSE
"Hydroxypentanoic acid","Veillonella parvula",0.149351863951952,0.134079644027339,0.491625361433577,0.149351863951952,FALSE,FALSE,FALSE
"Decanoylcarnitine","Prevotella denticola",-0.122394855385117,0.22038451638518,0.492915853953853,0.122394855385117,FALSE,FALSE,FALSE
"Decanoylcarnitine","Bifidobacterium longum",-0.114314023384507,0.252606641865804,0.492915853953853,0.114314023384507,FALSE,FALSE,FALSE
"Decanoylcarnitine","Bifidobacterium breve",0.108991849929423,0.275515148566628,0.492915853953853,0.108991849929423,FALSE,FALSE,FALSE
"Decanoylcarnitine","Veillonella atypica",-0.107773657188922,0.28094907185196,0.492915853953853,0.107773657188922,FALSE,FALSE,FALSE
"Decanoylcarnitine","Streptococcus salivarius",0.100749241521344,0.313673725243361,0.492915853953853,0.100749241521344,FALSE,FALSE,FALSE
"Hydroxyphenylacetic acids","Veillonella atypica",-0.105200871387903,0.292659434374929,0.497857260716042,0.105200871387903,FALSE,FALSE,FALSE
"Hydroxyphenylacetic acids","Streptococcus salivarius",-0.100099999638219,0.3168182568193,0.497857260716042,0.100099999638219,FALSE,FALSE,FALSE
"Kynurenine","Bifidobacterium longum",-0.0998854355693066,0.317861936381356,0.501767307628478,0.0998854355693066,FALSE,FALSE,FALSE
"Kynurenine","Prevotella denticola",0.0995892113433877,0.319306468490849,0.501767307628478,0.0995892113433877,FALSE,FALSE,FALSE
"N6-Acetyl-L-lysine","Veillonella parvula",0.0998386742387598,0.318089686366789,0.504052458348209,0.0998386742387598,FALSE,FALSE,FALSE
"N6-Acetyl-L-lysine","Prevotella melaninogenica",-0.0952946790515425,0.340722843556668,0.504052458348209,0.0952946790515425,FALSE,FALSE,FALSE
"N6-Acetyl-L-lysine","Streptococcus salivarius",0.0886129743902861,0.375800073006562,0.504052458348209,0.0886129743902861,FALSE,FALSE,FALSE
"N6-Acetyl-L-lysine","Bifidobacterium breve",-0.0794435647684692,0.427365579502116,0.504052458348209,0.0794435647684692,FALSE,FALSE,FALSE
"N6-Acetyl-L-lysine","Veillonella atypica",0.0742594386267551,0.458229507589281,0.504052458348209,0.0742594386267551,FALSE,FALSE,FALSE
"Lactic acid","Bifidobacterium breve",-0.167131780367768,0.0931566452475036,0.51236154886127,0.167131780367768,FALSE,FALSE,FALSE
"Decanoylcarnitine","Eggerthella lenta",-0.08880534199878,0.374760484449647,0.515295666118264,0.08880534199878,FALSE,FALSE,FALSE
"Dihydrothymine","Eggerthella lenta",-0.0807565020422601,0.419742653584855,0.517894713725276,0.0807565020422601,FALSE,FALSE,FALSE
"Dihydrothymine","Escherichia coli",-0.0800676908210192,0.423732038502498,0.517894713725276,0.0800676908210192,FALSE,FALSE,FALSE
"Cystathionine","Veillonella parvula",-0.196844222668505,0.0473703111949007,0.521073423143908,0.196844222668505,TRUE,FALSE,FALSE
"Hydroxycaproic acid","Bifidobacterium dentium",0.0888493212161608,0.374523059122632,0.528093489756663,0.0888493212161608,FALSE,FALSE,FALSE
"Hydroxycaproic acid","Prevotella denticola",0.0870944273872583,0.3840679925503,0.528093489756663,0.0870944273872583,FALSE,FALSE,FALSE
"N-Acetylneuraminic acid","Veillonella atypica",-0.0941956951201101,0.346345685404177,0.53228947882714,0.0941956951201101,FALSE,FALSE,FALSE
"N-Acetylneuraminic acid","Prevotella denticola",-0.0865389345560784,0.387119620965193,0.53228947882714,0.0865389345560784,FALSE,FALSE,FALSE
"Lactic acid","Veillonella atypica",-0.14496004579307,0.146037413977871,0.535470517918859,0.14496004579307,FALSE,FALSE,FALSE
"Hexoses","Eggerthella lenta",-0.163631878500008,0.100314715875823,0.535673031614389,0.163631878500008,FALSE,FALSE,FALSE
"Hexoses","Bifidobacterium dentium",-0.144940402855669,0.146092644985742,0.535673031614389,0.144940402855669,FALSE,FALSE,FALSE
"Pyridoxic acid","Haemophilus parainfluenzae",-0.116227897403951,0.244697802256701,0.538335164964742,0.116227897403951,FALSE,FALSE,FALSE
"Pyridoxic acid","Veillonella atypica",0.096020446282947,0.33704128736998,0.544024587944055,0.096020446282947,FALSE,FALSE,FALSE
"Pyridoxic acid","Prevotella denticola",-0.0942245203025404,0.346197465055308,0.544024587944055,0.0942245203025404,FALSE,FALSE,FALSE
"N-Formyl-L-methionine","Bifidobacterium dentium",-0.104066639739947,0.297923103771976,0.546192356915289,0.104066639739947,FALSE,FALSE,FALSE
"N-Acetyl-L-aspartic acid","Veillonella atypica",-0.0839952227812701,0.401278693470496,0.551758203521932,0.0839952227812701,FALSE,FALSE,FALSE
"N-Formyl-L-methionine","Bifidobacterium breve",-0.0805587012007887,0.420886024550102,0.557321043056422,0.0805587012007887,FALSE,FALSE,FALSE
"N-Formyl-L-methionine","Escherichia coli",-0.0762420081100347,0.446283218437974,0.557321043056422,0.0762420081100347,FALSE,FALSE,FALSE
"N-Formyl-L-methionine","Streptococcus salivarius",0.0716871245951172,0.473989259894595,0.557321043056422,0.0716871245951172,FALSE,FALSE,FALSE
"N-Formyl-L-methionine","Prevotella melaninogenica",0.0664979072318141,0.506655493687656,0.557321043056422,0.0664979072318141,FALSE,FALSE,FALSE
"Indoleacetic acid","Prevotella melaninogenica",-0.129772854577506,0.193603245515341,0.557455150771981,0.129772854577506,FALSE,FALSE,FALSE
"Indoleacetic acid","Prevotella denticola",-0.115538704140006,0.247525844277322,0.557455150771981,0.115538704140006,FALSE,FALSE,FALSE
"Indoleacetic acid","Veillonella parvula",0.111397601115899,0.264992633401219,0.557455150771981,0.111397601115899,FALSE,FALSE,FALSE
"Indoleacetic acid","Haemophilus parainfluenzae",0.102759403208575,0.304066445875626,0.557455150771981,0.102759403208575,FALSE,FALSE,FALSE
"N-Formyl-L-methionine","Veillonella atypica",-0.0584940419341702,0.559233520983648,0.559233520983648,0.0584940419341702,FALSE,FALSE,FALSE
"Hydroxy-methoxyphenylglycol sulfate","Streptococcus salivarius",0.10175727497146,0.308831650307134,0.566191358896413,0.10175727497146,FALSE,FALSE,FALSE
"N-Acetyl-L-aspartic acid","Bifidobacterium longum",-0.0727483739372671,0.467452021413674,0.57133024839449,0.0727483739372671,FALSE,FALSE,FALSE
"Pyridoxic acid","Prevotella melaninogenica",0.0811736175969958,0.417337455222308,0.573839000930674,0.0811736175969958,FALSE,FALSE,FALSE
"Indolelactic acid","Streptococcus salivarius",-0.110106297784286,0.270606259462936,0.575975457217863,0.110106297784286,FALSE,FALSE,FALSE
"Indolelactic acid","Haemophilus parainfluenzae",-0.0877049879040763,0.380730626500446,0.575975457217863,0.0877049879040763,FALSE,FALSE,FALSE
"Indolelactic acid","Escherichia coli",0.0817654790063674,0.413938393946347,0.575975457217863,0.0817654790063674,FALSE,FALSE,FALSE
"Indolelactic acid","Bifidobacterium breve",-0.0809039972534359,0.418891241612991,0.575975457217863,0.0809039972534359,FALSE,FALSE,FALSE
"Guanidinosuccinic acid","Haemophilus parainfluenzae",0.0798700642157289,0.424880652000746,0.584210896501025,0.0798700642157289,FALSE,FALSE,FALSE
"Hexanoylcarnitine","Eggerthella lenta",-0.135639673636896,0.174051123279714,0.584416251843355,0.135639673636896,FALSE,FALSE,FALSE
"Hexanoylcarnitine","Escherichia coli",0.124493148337629,0.212515000670311,0.584416251843355,0.124493148337629,FALSE,FALSE,FALSE
"N8-Acetylspermidine","Bifidobacterium dentium",0.0877387758897617,0.380546452767295,0.588658162085273,0.0877387758897617,FALSE,FALSE,FALSE
"N8-Acetylspermidine","Prevotella melaninogenica",0.0789100504211609,0.430485719079084,0.588658162085273,0.0789100504211609,FALSE,FALSE,FALSE
"N8-Acetylspermidine","Bifidobacterium breve",0.077071777128155,0.441335643028589,0.588658162085273,0.077071777128155,FALSE,FALSE,FALSE
"N8-Acetylspermidine","Veillonella parvula",0.0719829057948796,0.472162305227461,0.588658162085273,0.0719829057948796,FALSE,FALSE,FALSE
"N8-Acetylspermidine","Streptococcus salivarius",0.0657471308749418,0.511476284957828,0.588658162085273,0.0657471308749418,FALSE,FALSE,FALSE
"N8-Acetylspermidine","Prevotella denticola",0.0621124689658378,0.535143783713885,0.588658162085273,0.0621124689658378,FALSE,FALSE,FALSE
"N-Acetyl-L-tryptophan","Bifidobacterium longum",-0.099036695109589,0.322012091067864,0.590355500291084,0.099036695109589,FALSE,FALSE,FALSE
"Phenylacetyl-L-glutamine","Veillonella atypica",-0.0689665268687126,0.490971718423131,0.591198583320584,0.0689665268687126,FALSE,FALSE,FALSE
"Phenylacetyl-L-glutamine","Haemophilus parainfluenzae",-0.0617621590145634,0.537453257564167,0.591198583320584,0.0617621590145634,FALSE,FALSE,FALSE
"Hydroxyphenylacetic acids","Haemophilus parainfluenzae",-0.0788167285537004,0.431032826031625,0.592670135793484,0.0788167285537004,FALSE,FALSE,FALSE
"Cystathionine","Eggerthella lenta",-0.159682411902432,0.108903262491114,0.598967943701125,0.159682411902432,FALSE,FALSE,FALSE
"Hexose alcohols","Prevotella melaninogenica",0.0862853818814973,0.388517353271138,0.601635538104609,0.0862853818814973,FALSE,FALSE,FALSE
"Hexose alcohols","Bifidobacterium dentium",-0.0777096973267427,0.437553118621534,0.601635538104609,0.0777096973267427,FALSE,FALSE,FALSE
"p-Anisic acid","Streptococcus salivarius",-0.0602285748683743,0.547621342684172,0.602383476952589,0.0602285748683743,FALSE,FALSE,FALSE
"Phenylacetyl-L-glutamine","Streptococcus salivarius",-0.0520276247657353,0.603531183561637,0.603531183561637,0.0520276247657353,FALSE,FALSE,FALSE
"Octanoylcarnitine","Bifidobacterium dentium",-0.164503085913006,0.0984937673180775,0.609098909237937,0.164503085913006,FALSE,FALSE,FALSE
"Octanoylcarnitine","Bifidobacterium longum",-0.158867239249953,0.110745256225079,0.609098909237937,0.158867239249953,FALSE,FALSE,FALSE
"N-Acetylglycine","Haemophilus parainfluenzae",-0.108179939536767,0.27912888340061,0.614083543481342,0.108179939536767,FALSE,FALSE,FALSE
"Hydroxyphenylacetic acids","Bifidobacterium breve",-0.0662770300396609,0.508071315916217,0.620976052786487,0.0662770300396609,FALSE,FALSE,FALSE
"Galacturonic acid","Bifidobacterium breve",-0.0661807999922019,0.508688788998101,0.62173074210879,0.0661807999922019,FALSE,FALSE,FALSE
"Octanoylcarnitine","Escherichia coli",0.1331292309071,0.182231885235227,0.623609931659585,0.1331292309071,FALSE,FALSE,FALSE
"Octanoylcarnitine","Bifidobacterium breve",0.11337880797535,0.256534425912271,0.623609931659585,0.11337880797535,FALSE,FALSE,FALSE
"Octanoylcarnitine","Eggerthella lenta",-0.105658321363327,0.290554041959393,0.623609931659585,0.105658321363327,FALSE,FALSE,FALSE
"Octanoylcarnitine","Prevotella denticola",-0.0911426765131175,0.362269401890165,0.623609931659585,0.0911426765131175,FALSE,FALSE,FALSE
"Octanoylcarnitine","Prevotella melaninogenica",-0.0847863307716728,0.396842683783373,0.623609931659585,0.0847863307716728,FALSE,FALSE,FALSE
"Hydroxyphenylacetic acids","Prevotella melaninogenica",-0.0515223866446675,0.607056743577594,0.636928512443996,0.0515223866446675,FALSE,FALSE,FALSE
"Hydroxyphenylacetic acids","Veillonella parvula",-0.0472914077350939,0.636928512443996,0.636928512443996,0.0472914077350939,FALSE,FALSE,FALSE
"Hexanoylcarnitine","Bifidobacterium dentium",0.0945842911837701,0.34435085637075,0.639711936801944,0.0945842911837701,FALSE,FALSE,FALSE
"Hexanoylcarnitine","Haemophilus parainfluenzae",-0.0936936153758343,0.348933783710151,0.639711936801944,0.0936936153758343,FALSE,FALSE,FALSE
"Pentose alcohols","Veillonella atypica",-0.0633449332241963,0.527057933909065,0.644181919222191,0.0633449332241963,FALSE,FALSE,FALSE
"Cystathionine","Bifidobacterium dentium",-0.119449116286633,0.231776326684248,0.650251271299817,0.119449116286633,FALSE,FALSE,FALSE
"Cystathionine","Bifidobacterium breve",-0.107503114489321,0.282165524542603,0.650251271299817,0.107503114489321,FALSE,FALSE,FALSE
"Cystathionine","Veillonella atypica",0.103920145416471,0.298607459295633,0.650251271299817,0.103920145416471,FALSE,FALSE,FALSE
"Cystathionine","Haemophilus parainfluenzae",-0.0836455032740111,0.403248997535824,0.650251271299817,0.0836455032740111,FALSE,FALSE,FALSE
"Cystathionine","Bifidobacterium longum",-0.081790288968126,0.413796263554429,0.650251271299817,0.081790288968126,FALSE,FALSE,FALSE
"Lactic acid","Bifidobacterium dentium",-0.117803231161867,0.23831766854786,0.655373588506616,0.117803231161867,FALSE,FALSE,FALSE
"Pseudouridine","Escherichia coli",0.107254938962394,0.283284495900834,0.661024713480768,0.107254938962394,FALSE,FALSE,FALSE
"Pseudouridine","Veillonella atypica",-0.103523460381072,0.300465778854895,0.661024713480768,0.103523460381072,FALSE,FALSE,FALSE
"Quinolinic acid","Prevotella melaninogenica",0.0696159335402491,0.486888981171949,0.661877365092849,0.0696159335402491,FALSE,FALSE,FALSE
"Quinolinic acid","Veillonella parvula",0.0566936494309454,0.571409727655741,0.661877365092849,0.0566936494309454,FALSE,FALSE,FALSE
"Quinolinic acid","Haemophilus parainfluenzae",-0.054021917183477,0.589704400938018,0.661877365092849,0.054021917183477,FALSE,FALSE,FALSE
"Quinolinic acid","Streptococcus salivarius",0.0522895995606807,0.601706695538954,0.661877365092849,0.0522895995606807,FALSE,FALSE,FALSE
"Hexoses","Prevotella melaninogenica",0.110360142705279,0.26949643909987,0.662385548294048,0.110360142705279,FALSE,FALSE,FALSE
"Hexoses","Haemophilus parainfluenzae",-0.0807577066275508,0.41973569609509,0.662385548294048,0.0807577066275508,FALSE,FALSE,FALSE
"Hexoses","Veillonella parvula",-0.0736471195568184,0.461954521147966,0.662385548294048,0.0736471195568184,FALSE,FALSE,FALSE
"Hexoses","Escherichia coli",0.0720994049377852,0.471443774129382,0.662385548294048,0.0720994049377852,FALSE,FALSE,FALSE
"Hexoses","Streptococcus salivarius",0.0704398967670075,0.481734944213853,0.662385548294048,0.0704398967670075,FALSE,FALSE,FALSE
"Tartaric acid","Streptococcus salivarius",-0.0512929563190406,0.608660697263675,0.669526766990042,0.0512929563190406,FALSE,FALSE,FALSE
"Quinolinic acid","Bifidobacterium breve",-0.0427176501852758,0.669885863692676,0.669885863692676,0.0427176501852758,FALSE,FALSE,FALSE
"Pentose alcohols","Bifidobacterium breve",-0.0512425002719418,0.609013686020572,0.669915054622629,0.0512425002719418,FALSE,FALSE,FALSE
"Pyridoxic acid","Streptococcus salivarius",0.0520105394530215,0.603650256947112,0.671222621842925,0.0520105394530215,FALSE,FALSE,FALSE
"Pyridoxic acid","Veillonella parvula",0.0510726825411317,0.610202383493569,0.671222621842925,0.0510726825411317,FALSE,FALSE,FALSE
"N-Acetylneuraminic acid","Prevotella melaninogenica",0.0527366180436254,0.598599167747036,0.67283682305481,0.0527366180436254,FALSE,FALSE,FALSE
"N-Acetylneuraminic acid","Bifidobacterium breve",-0.0508632406731326,0.611669839140737,0.67283682305481,0.0508632406731326,FALSE,FALSE,FALSE
"Hexose alcohols","Bifidobacterium breve",-0.0596881020842298,0.551227019468518,0.673721912683745,0.0596881020842298,FALSE,FALSE,FALSE
"N-Acetylglycine","Streptococcus salivarius",-0.0820579094124128,0.412264938798176,0.675235744173476,0.0820579094124128,FALSE,FALSE,FALSE
"N-Acetylglycine","Prevotella melaninogenica",-0.0790449650210451,0.429695473564939,0.675235744173476,0.0790449650210451,FALSE,FALSE,FALSE
"Indoleacetic acid","Streptococcus salivarius",0.0779574343610933,0.436089139285617,0.678874075865759,0.0779574343610933,FALSE,FALSE,FALSE
"Indoleacetic acid","Bifidobacterium breve",-0.068529945268408,0.493726600629643,0.678874075865759,0.068529945268408,FALSE,FALSE,FALSE
"Citric acid/Isocitric acid","Eggerthella lenta",-0.0587836302125344,0.557286654832963,0.681128133684732,0.0587836302125344,FALSE,FALSE,FALSE
"N-Acetylglycine","Bifidobacterium breve",0.0677601048887356,0.498604169478305,0.68558073303267,0.0677601048887356,FALSE,FALSE,FALSE
"Orotidine","Haemophilus parainfluenzae",-0.0882967495119576,0.377512814670658,0.692106826896206,0.0882967495119576,FALSE,FALSE,FALSE
"Butyrylcarnitine","Prevotella denticola",0.0389111314005282,0.697803709149897,0.697803709149897,0.0389111314005282,FALSE,FALSE,FALSE
"Decanoylcarnitine","Escherichia coli",0.0567400811543355,0.571094151734442,0.698003963230984,0.0567400811543355,FALSE,FALSE,FALSE
"Hexose alcohols","Streptococcus salivarius",-0.0465147638634057,0.642477439845145,0.70672518382966,0.0465147638634057,FALSE,FALSE,FALSE
"Glucuronic acid","Escherichia coli",0.0649403980895671,0.516682540615646,0.710438493346513,0.0649403980895671,FALSE,FALSE,FALSE
"Phenylalanine","Prevotella melaninogenica",-0.0744128970916874,0.457298557771778,0.71861201935565,0.0744128970916874,FALSE,FALSE,FALSE
"Phenylalanine","Haemophilus parainfluenzae",-0.0639753474280392,0.522945837188003,0.719050526133504,0.0639753474280392,FALSE,FALSE,FALSE
"Malic acid","Prevotella melaninogenica",-0.110540028838457,0.268711834441158,0.720227016019981,0.110540028838457,FALSE,FALSE,FALSE
"Malic acid","Bifidobacterium dentium",-0.0979500977883949,0.327375916372719,0.720227016019981,0.0979500977883949,FALSE,FALSE,FALSE
"Lactic acid","Streptococcus salivarius",-0.0937328731001975,0.34873098481315,0.723148198672311,0.0937328731001975,FALSE,FALSE,FALSE
"Lactic acid","Prevotella melaninogenica",-0.0818182095742204,0.413636347044887,0.723148198672311,0.0818182095742204,FALSE,FALSE,FALSE
"Lactic acid","Prevotella denticola",-0.073937617728216,0.460185217336925,0.723148198672311,0.073937617728216,FALSE,FALSE,FALSE
"Hexose alcohols","Veillonella atypica",0.0353843051576205,0.724035804148953,0.724035804148953,0.0353843051576205,FALSE,FALSE,FALSE
